level,id,is_wildcard,question
2,40,0,"When you're asked how are you, how often do you answer truthfully?"
2,41,0,"If MySpace were still a thing, what would my profile song be?"
2,42,1,Write a note to your younger selves. (1 minute) Option to compare.
2,43,0,What is your most toxic trait you can admit to?
2,44,0,What is your heart telling you?
2,45,0,Who in your life deserve the biggest thank you? Let them know if you can.
2,46,0,I feel loved when ____.
2,47,0,Self love is ____.
2,48,0,What can you be kinder towards yourself for today?
2,49,0,What's your mothers name and the most valuable lesson she's taught you thus far?
2,50,0,What are you still trying to prove to yourself?
2,51,0,What have you been taking for granted lately?
2,52,0,Is there a feeling you miss?
2,53,1,Admit something.
2,54,0,If you could have it your way: who would you be with? Where would you be? And what would you be doing?
2,55,0,What do you need to hear right now?
2,56,0,What about yourself is hard to admit?
2,57,0,What's one thing you can do to be a better person?
2,58,0,What question did this week/month/year leave you with?
2,59,0,What lesson should you have learned by now?
2,60,0,What dating advice would you give yourself?
2,61,0,What title would you give this chapter in your life?
2,62,0,When was the last time you felt most yourself?
2,63,1,Let go of your attachment to the outcome.
2,64,0,What part of your life works? What part of your life hurts?
2,65,1,Press shuffle on your music library. Explain the first song that comes up.
2,66,0,What been your happiest memory this past year?
2,67,0,What would you never want to change about yourself?
2,68,0,When was the last time you were able to use your pain to help someone else?
2,69,0,Are you missing anyone right now? Do you think they are missing you too?
2,70,0,What do you think my main love language is?
2,71,0,What's the hardest truth you had to face this year?
2,72,0,What's a feeling you're uncomfortable sharing with me?
2,73,1,Sing your favourite song lyrics you can think of off the top of your head. Both players.
2,74,0,What brought you the most unexpected joy recently?
2,75,0,What was the lesson from your most recent painful experience?
2,76,0,I know I'm in love when ____.
2,77,0,Draw a picture together. (30 seconds)
2,78,0,What about me is hardest for you to understand?
2,79,1,What's your favourite memory we share? Both players. Compare.
2,80,0,Have I ever challneged your worldview? How so?
2,81,0,Have you changed your mind about anything recently?
2,82,0,What's your favourite song lyric you can think of off the top of your head?
2,83,0,How did you get over your first love?
2,84,0,What's the best lesson an ex has ever taught you?
2,85,0,"What do you need right now, more than anything?"
2,86,0,When was the last time you felt lucky to be you?
2,88,0,When do you feel most optimistic?
2,87,0,"What has being single/in a relationship taught you about yourself, if anything?"
2,88,0,What's been keeping you sane lately?
2,89,0,How would you describe the feeling of being in love in one word?
2,90,0,Do you think I fall in love easily? Why or why not.
2,91,0,"Dear people who raised me, thank you for ____."
3,1,0,"If you made a playlist for me, what 3 songs would be on it?"
3,2,0,Is there anyone who's changed your life but doesn't know it?
3,3,0,How can I be there for you during this chapter?
3,4,1,Who's been on your mind lately? Send them a text letting them know you're thinking of them. Both players.
3,5,0,What do you think my strength is?
3,6,0,When was the last time you surprised yourself?
3,7,0,What would you like to learn from me?
3,8,0,What can I teach you?
3,9,0,What can we create together?
3,10,0,Who do I remind you of?
3,11,0,"Based on what you've learned about me, do you have any netflix reccommendations?"
3,12,0,"In a word, how would you describe our conversation?"
3,13,0,You hurt me but thank you for ____.
3,14,0,Dear younger self: ____.
3,15,0,Why do you think we met?
3,16,0,What is something you learned about yourself this week?
3,17,0,What would your younger self not believe about your life today?
3,18,0,What is one thing you think I can do that would dramatically improve my life?
3,19,0,How do our personalities compliment each other?
3,20,0,Do you think the image you have of yourself matches the image people see you as?
3,21,0,How can I add 1% more happiness to your life?
3,22,0,What parts of yourself do you see in me?
3,23,0,What question were you most afraid to answer?
3,24,0,"Based on what you learned about me, does my social media accurately reflect who I am? Why or why not?"
3,25,0,"When this game is over, what will you remember about me?"
3,26,0,How would you describe me to a stranger?
4,1,0,Each player write a virtual message to your partner. Press send once you two have hung up.
