id;question;tags
107;What person in your life do you most admire?;worldview
108;What is something you're coming to realize?;worldview
109;Is there anything you think the next generation will do better than your generation?;worldview
110;When have you felt the most connected to something greater than yourself, and what were the circumstances?;worldview
111;What's something you're absolutely convinced is going to happen in the future?;worldview
112;What's something other people commonly do that you avoid, and are proud of doing so?;worldview
113;What principle do you hold that you would never compromise on, even under pressure?;worldview
114;What's the best outcome of a serendipitous event you've experienced in your life?;worldview
115;Is there anything you think the previous generation did better than your generation?;worldview
116;Have you ever turned down an opportunity, then came to later regret that decision?;worldview
117;Are human desires endless, and can a society exist without wanting more?;worldview
118;What aspects of how you were raised do you want to continue on to future generations? What aspects do you want to be sure not to repeat?;worldview
119;If you could know for certain the answer to any question, what would that question be?;worldview
120;What's a common piece of advice you disagree with, and why?;worldview
121;Can you share a personal tradition that holds deep meaning for you, and explain its origin?;worldview
122;Who in life has inspired you the most?;worldview
123;What do you think all happy people have in common?;worldview
124;What is something that is important to you that you never really talk about?;worldview
125;What's a current trend you find concerning?;worldview
126;What character trait instantly makes you respect someone?;worldview
127;You can impart one understanding about human relationships to your child. What insight do you choose to share?;worldview
128;If you could change one thing about your childhood, what would it be?;worldview
129;What one thing (something you made, something you did, something you contributed to) would you like to be remembered by?;worldview
130;Think of your biggest regret. If you could go back in time and make a decision to keep it from happening, would you?;worldview
131;You can only guarantee your child learns one life principle. What do you teach them?;worldview
132;What embarrassing memory will forever be seared in your memory?;worldview
133;Which societal norm would you like to see ended, and why? What changes would you propose?;worldview
134;What is the smallest thing for which you are grateful?;worldview
135;Spiritually, do you believe in something bigger than yourself? What inspired this belief?;worldview
136;You're offered vast wealth, extraordinary intellect, renowned fame, or stunning looks. Which do you choose?;worldview
137;How has your definition of happiness changed as you've gotten older?;worldview
138;What's the best advice you've ever given someone?;worldview
139;What is the single most critical issue you would want your child to be passionate about addressing in their lifetime?;worldview
140;If you could change anything about the way you were raised, what would it be?;worldview
141;Who is your favorite philosopher or thinker, and what influence have they had on you?;worldview
142;What is something you've done that you recommend everyone do before they die?;worldview
143;Which is more important, nature or nurture?;worldview
144;Is there anything you think your generation does better than the previous generation?;worldview
145;What is something you've become increasingly interested in the more you've learned about it over time?;worldview
146;What does 'living authentically' mean to you, and how do you practice it in your daily life?;worldview
147;What do you think is the best place or way to meet a signifcant other?;worldview
148;If you could telepathically say something that all 8+ billion people on Earth could hear at once, what would it be?;worldview
149;In what ways do you think hardship can contribute to personal growth?;worldview
150;How do you reconcile the pursuit of your personal goals with the need to contribute to the community?;worldview
151;What do people think is hard but actually isnt?;worldview
152;What do you think happens after we die, if anything?;worldview
153;If you had the power to completely solve one social or political issue affecting the world today, which would you choose?;worldview
154;When was the last time you experienced stillness and wonder?;worldview
155;What's something very strange that happened to you?;worldview
156;What is the most trivial thing about which you have a strong opinion?;worldview
157;What do you know isn't real, but really wish it existed?;worldview
158;What's the worst advice you've ever been given?;worldview
159;Think of the best teacher you've ever had. What did they teach, and what made them so special?;worldview
160;What do you think is the most important quality of human civiliation for its continued survival?;worldview
161;If you could promote one value or ethic in the world, what would it be and why do you think it's vital?;worldview
162;What is the most ordinary-seeming thing that you find fascinating?;worldview
163;What advice do you wish you'd received earlier?;worldview
164;What's the most useless thing you've ever been taught in school?;worldview
165;What subject or course do you wish they had offered in school?;worldview
166;What's one thing you would change that's commonly taught to children today?;worldview
167;What's the most useful thing you've ever been taught in school?;worldview
168;What public figure has had greatest impact on your personal life philosophy?;worldview
169;Who in your life do feel is receptive to receiving feedback?;worldview
170;Who in your life would you trust with your deepest secret?;worldview
171;Have you ever desired or longed for something, but once you got it, discovered it was overrated or that you no longer wanted it?;worldview
172;What do you believe is the most significant factor in shaping one's destiny, and how much control does one have over it?;worldview
173;What did you learn about the concept of love from your parents? Is there anything you want to keep, or anything you want to let go?;worldview
174;A highly advanced alien species has arrived on Earth, and you are selected as the spokesperson to represent humanity. You have one sentence to communicate your most important message. What do you say?;worldview
175;Has your gut feeling or intuition about someone or something ever been wrong?;reflection
176;What's a fear you've faced and overcome?;reflection
177;What is the quality you admire the most in the person you dislike the most?;reflection
178;Is there any aspect of your identity you sometimes feel you must suppress or amplify in certain social settings?;reflection
179;What's something people are surprised to learn about you?;reflection
180;If you could go back and relive one day in your life without changing anything about it, which day would you choose?;reflection
181;Are you settling for less than what you are worth? If so, why?;reflection
182;How do you think you'll be completely different from yourself 10 years from now?;reflection
183;Do you think you fit a particular stereotype? Which one, and why?;reflection
184;What's something from your childhood that you think no one else could relate to?;reflection
185;What's your favorite personality or character trait about yourself?;reflection
186;What kind of person do you want to be?;reflection
187;How would you summarize your life so far in one sentence?;reflection
188;Are you waiting on someone or something to progress in an aspect of your life?;reflection
189;When do you feel most like yourself?;reflection
190;What's the best lesson you've learned from a difficult situation?;reflection
191;What's one thing about you that hasn't changed in the last 10 years?;reflection
192;What inaction or missed opportunity do you regret?;reflection
193;What is the dumbest but most innocent thing you believed as a child?;reflection
194;What title would you give to the current phase of your life?;reflection
195;What practice or habit (if anything) best supports your mental health/well-being?;reflection
196;If you only had one year left to live, what would you do?;reflection
197;What bad habits would you like to get rid of? What steps do you need to take to make that happen?;reflection
198;How do you prioritize your goals and desires in life?;reflection
199;Which childhood book or story influenced you the most?;reflection
200;How would you summarize your last 12 months in one sentence?;reflection
201;What was the last fear you overcame and how?;reflection
202;What are 3 things you love about yourself?;reflection
203;How authentically do you feel you represent yourself to others?;reflection
204;What's something you used to be ashamed of but have come to embrace?;reflection
205;What's a habit you picked up as a child that you wish you hadn't?;reflection
206;Are you currently holding a grudge against anyone?;reflection
207;What talent of yours do you consider to be inherent, like an advantage you were born with?;reflection
208;What's one way in which you're completely different from yourself 10 years ago?;reflection
209;If you could only use five words, how would you describe yourself?;reflection
210;How would you describe your relationship with yourself in a single word?;reflection
211;If you could ask your future self one thing, what would it be?;reflection
212;What are you most jealous of about others?;reflection
213;What life event did you learn the most from? Would you change it?;reflection
214;What stopped you from following, or encouraged you to follow, your childhood passion?;reflection
215;What lesson have you had to learn again and again?;reflection
216;Does anybody beside yourself know your deepest secret? Do you ever intend to tell anyone?;reflection
217;How can you take better care of yourself? How will you make that happen?;reflection
218;What's something you wish people asked you about more often?;reflection
219;What's something you'd like to do, but have a hard time acting on?;reflection
220;What are your best habits? How did you develop them?;reflection
221;What is something that's easy for you but seems difficult for most other people?;reflection
222;What does your ideal/dream life look like?;reflection
223;What activity absorbs you completely and makes you lose track of time?;reflection
224;Is there anything important you've been putting off? If so, why?;reflection
225;What's something people often incorrectly assume about you?;reflection
226;Who has had the most positive impact on your life?;reflection
227;What trait do you admire in others but don't possess yourself?;reflection
228;What's the most important life lesson you've learned in the last 10 years?;reflection
229;You just inherited $10,000,000. How does your life change tomorrow?;reflection
230;What single event or decision do you think most affected the rest of your life? Was there a turning point in your life?;reflection
231;If you had one minute left to live, what would you do?;reflection
232;What word describes your essence the best?;reflection
233;What is something other people admire about you?;reflection
234;Do you have an inner monologue? Do you think your thoughts in words or concepts?;reflection
235;If you could alter one decision you made in your early 20s, what would it be?;reflection
236;What would you most like to become famous for?;reflection
237;What is the hardest way you’ve learned an important lesson?;reflection
238;Have you learned the lesson of forgiveness? Why or why not?;reflection
239;What do you think will still be the same about you 10 years from now?;reflection
240;How do you approach your overall wellness?;reflection
241;What is your biggest accomplishment outside of academia and work?;reflection
242;Do you have any biases you're aware of?;reflection
243;Is there something you wish everybody knew about you without you having to tell them?;reflection
244;What is an irrational fear you have?;reflection
245;When do you feel most helpful to others?;reflection
246;What's something you strongly believed in your childhood that you no longer feel sure about?;reflection
247;What do you think is your biggest strength and your biggest weakness?;reflection
248;What past compromises do you refuse to make now?;reflection
249;Do you love yourself? What does that look like?;reflection
250;What fact about yourself took you the longest to understand or accept?;reflection
251;What do you think is the most misunderstood aspect of your personality by others?;reflection
252;What are you most afraid of about yourself?;reflection
253;What would you title your memoir?;reflection
254;What area in your life are you looking to improve?;reflection
255;When was the last time you cried and why?;reflection
256;What is one thing you're tired of explaining to people?;reflection
257;The world needs more of my...;reflection
258;What's the one thing you would like to change about yourself?;reflection
259;What do you take for granted?;reflection
260;What's something that you wish was easier for you?;reflection
261;What's your biggest dream?;reflection
262;What is something you never thought you'd be able to do, until you actually did it?;reflection
263;What was your "rock bottom"? How did it happen, and how did you get out of it?;reflection
264;Are there any inner thoughts you have that bother you?;reflection
265;If seasons never changed, which would you most like to live in eternally?;random
266;What's an ethical dilemma that keeps you up at night?;random
267;If you had to give a TED Talk without any preparation, what topic would you choose?;random
268;What's the best compliment you've ever received?;random
269;What movie traumatized you as a kid?;random
270;Who here is is most likely to have the most children?;random
271;What is your most terrible memory?;random
272;What's your favorite non valuable item you'll keep to the grave?;random
273;What does your dream home look like?;random
274;What song is 10/10 in your book, but no one has heard of it?;random
275;What's one thing you miss the most growing up as a kid?;random
276;Who here is most likely to own 20 house plants and give each of them unique names?;random
277;If you could erase one thing or event from your memory, what would you choose?;random
278;What's the weirdest food combination you actually enjoy?;random
279;What's something expensive you splurge on that you believe is worth the money?;random
280;If you could change one thing about yourself physically, what would you change?;random
281;If every time you snapped your fingers, you would instantly and irreversibly be transported to a random point in humanity's timeline, would you snap your fingers? If so, how often?;random
282;Imagine you woke up with the ability to speak every language fluently. How would you use this power first?;random
283;What's a time when you were extremely underprepared for the task or situation at hand?;random
284;What color describes your mood today?;random
285;What outfit makes you feel powerful, smart, or capable?;random
286;If you were perpetually surrounded by one aroma (asides your own, natural scent) which you and everyone around you could smell, what would it be?;random
287;If all animals were the same size, what would win in a fight?;random
288;You're gifted 24 hours where you and your pet(s) are suddenly able to talk to each other. What would you want to tell them, and how would you want to spend your time with them?;random
289;Did your household ever have a cooking disaster, or a meal that turned out really badly one time?;random
290;What's the most bizarre dream you've ever had?;random
291;Who here is most likely to invent the next technology that'll save the planet?;random
292;What was the best birthday gift you ever got?;random
293;Which superhero’s powers do you feel are underestimated?;random
294;Who here is is most likely to eat cat food?;random
295;What fictional character do you most relate to?;random
296;What is something you're terrible at but wish you could do well?;random
297;What is the greatest physical pain you've ever felt?;random
298;You have to start a business. If you already have one, it can't be your current one. What would you name it, and what would it do?;random
299;Who here is most likely become a philanthropist?;random
300;If you could choose one superpower, but it had to be extremely specific and unusual, what would it be?;random
301;Where do you wish you had grown up?;random
302;Do you have a best year of your life? A worst?;random
303;If you could use a time machine, would you rather have one that only goes back in time or only goes forward?;random
304;If you were a teacher, what would you teach and what ages would your students be?;random
305;Who here is is most likely to establish a scientific law?;random
306;You can know when you die or how you die. Which do you choose?;random
307;What is something you hate, that everyone else loves?;random
308;If you had to get a tail, what tail would you want and what would you use it for?;random
309;Given the choice of anyone in the world, whom would you want as a dinner guest?;random
310;What's something that will never cease to make you laugh?;random
311;Who here is is most likely to call in sick at work just to travel for a concert in another state?;random
312;What's a great name for a pet but a terrible name for a human?;random
313;A stranger is inhabiting your body for the day. What are some tips you’d give them?;random
314;A surprise package arrives at your doorstep — it's from everyone here! What's inside?;random
315;Who here is most likely to call in sick at work just to travel for a concert in another state?;random
316;Who here is most likely to leave their inheritance to a ferret that only has a 3-year lifespan?;random
317;Who here is is most likely to read every book in a school library?;random
318;Who here is most likely to bring an axe to a pillow fight?;random
319;Which superpower would you pick to subtly make your everyday life easier?;random
320;What's something you're embarrassed to admit you enjoy?;random
321;What's one of your biggest pet peeves?;random
322;If you had to skip on meal every day for the rest of your life, which meal would it be?;random
323;It's "Freaky Friday". You wake up in someone else's body for a day. Who would you like to wake up us, and have them inhabit your body instead?;random
324;If you could be invisible, but it would mean being permanently invisible, would you want to be this way?;random
325;What scientific or technological advance blows your mind?;random
326;Some historical figures have epithets attached to their names (e.g. Alexandar The Great, or Michael Jackson: King of Pop). What would you like yours to be?;random
327;You just became a new member of the Spice Girls. What's Spice name do you create for yourself?;random
328;What is the one thing you've made that you're the most proud of?;random
329;Who here is would most likely live the longest?;random
330;If you had the power of perfect memory recall, what’s the first memory you’d revisit?;random
331;If you were an inanimate object, what would you be and why?;random
332;If you were a dictator of a small country, what crazy dictator things would you do?;random
333;Who here is is most likely to join the secret service?;random
334;If you could learn one secret from anyone, who would it be and what would it pertain to?;random
335;Without saying what the category is, what are your top five?;random
336;Would you rather have the power to turn invisible or to read minds?;random
337;If you could witness any event from the past, present, or future, what would it be and why?;random
338;Are you known for having a personal catchphrase, or something you say often?;random
339;What's one rule you'd put in place if you ruled the world for a day?;random
340;What kind of games did you play as a child?;random
341;Who here is most likely to dedicate their life trying to go to another planet?;random
342;If you could witness any event in the future, what would you choose to see?;random
343;What's your favorite article of clothing you own?;random
344;What are some bad things you did as a teenager?;random
345;What fictional character would you most like to have as a mentor?;random
346;What is a childhood habit or preference that you'll never outgrow?;random
347;What's one thing that you wish would never happen to you?;random
348;You get to invent something. What is it and what does it do?;random
349;If you were reincarnated as an animal based on your personality, what animal do you think you would come back as?;random
350;You can go back in time for 5 minutes. What would you do?;random
351;If you could have any author write your life story, who would you choose?;random
352;You can stop time for 24 hours. What do you do with this opportunity?;random
353;Do you have any conspiracy theories? If so, what are they?;random
354;What's something that will make you smile every time?;random
355;Imagine that you can choose when and how you die. How long would you like to live, and how would you like to go?;random
356;If you had 9 lives, what would you do with them?;random
357;If you were in a zombie apocalypse and you could only choose 3 people, would you be on your team?;random
358;What's your favorite toy?;random
359;If you could level up any aspect of yourself (i.e., strength, intelligence, charisma, etc.) but you had to decrease another aspect of yourself by the same amount, what aspects would you level up and sacrifice?;random
360;Imagine you could bring drawings to life. What’s the first thing you would draw?;random
361;If you could be the CEO of any company, what company would you choose?;random
362;You're given a sidekick with any superpower of your choosing. What's their name, and what's their power?;random
363;What is the most memorable meal you've ever had? (It can be good or bad.) What made it so memorable?;random
364;If you could create a new holiday, what would it celebrate?;random
365;Who here is is most likely to look almost the same years from now?;random
366;Who here is would most likely become a CEO at a company ranked amongst the top 100 largest in the world?;random
367;Do you have an internal hunch about how you will die?;random
368;What is something you love, that everyone else hates?;random
369;If your life was a genre of music, what would it be?;random
370;Are you closer to one of your parents than the other, and why?;relationship
371;What behavior or trait immediately makes you trust someone?;relationship
372;What is one commitment you've made to showing up differently in a particular relationship of yours?;relationship
373;What behavior or trait immediately makes you respect someone?;relationship
374;What is the most important quality you look for in a friend?;relationship
375;What's some surprising feedback you recently received?;relationship
376;Before having a conversation with someone, do you ever rehearse what you are going to say? Why;relationship
377;Who is someone that you recently issued a genuine apology, and what was it for?;relationship
378;What boundary did you recently set that has improved your relationship with someone?;relationship
379;What’s one family tradition you want to pass down to your kids?;relationship
380;In what way do you differ most from your romantic partner? In what way are you most similar?;relationship
381;What does love mean to you?;relationship
382;What do you most need to hear right now, and from whom?;relationship
383;What's the hardest part about maintaining relationships for you?;relationship
384;Do you feel like you've found "your people" yet in life?;relationship
385;What instantly makes you think less of someone?;relationship
386;What's something you admire about each person here?;relationship
387;What do you consider as red flags in a potential romantic relationship?;relationship
388;What's a difficult conversation you've been meaning to have?;relationship
389;If you accomplished something major, who is the first person you'd tell and how do you think they'd react?;relationship
390;What's a recent moment in which you're proud that you spoke up?;relationship
391;What is your best advice on how to apologize?;relationship
392;Are there any relationships in your life that feel imbalanced? What would it look like to restore balance?;relationship
393;Is there anyone who intimidates you? Why do you think this is?;relationship
394;Which relationships are you investing the most in right now?;relationship
395;What first impression do you hope you make on people?;relationship
396;How well do you receive feedback?;relationship
397;What advice would you give about maintaining long-lasting relationships?;relationship
398;In what way do you differ most from your best friend? In what way are you most similar?;relationship
399;What trait signals to you that someone is wise?;relationship
400;How do you show someone you care about them?;relationship
401;In what ways are you similar to your parents? In what ways are you different?;relationship
402;To what degree do you modify your behavior based on who you're with? Do you think this is good or bad?;relationship
403;What have you previously tolerated that you no longer allow in your life?;relationship
404;When was the last time you had a difficult conversation? Who was it with, and how did it go?;relationship
405;What was your worst conflict with a partner and what happened? What'd you learn from the experience?;relationship
406;Complete this sentence: "I wish I had someone with whom I could share ... ";relationship
407;What was your parents' relationship like?;relationship
408;Which of your expectations of someone is causing hurt?;relationship
409;Who is someone you think about a lot, that isn't thinking about you nearly as much? What do you make of this?;relationship
410;If you have siblings, how do you (or did you) quarrel with them?;relationship
411;How do you resolve conflict with the closest people in your life?;relationship
412;What do you consider as red flags in a potential friendship?;relationship
413;What crucial boundary do you need to establish with someone in your life? What's been holding you back?;relationship
414;What are the top three qualities of your ideal partner?;relationship
415;What's the best relationship advice you've ever received?;relationship
416;Which relationships have become more meaningful to you as of late?;relationship
417;What traits in others are you attracted to?;relationship
418;Think of someone you're currently in conflict with. If it was the last conversation you'd ever have with them, what would you say?;relationship
419;What community do you currently feel the most connected to?;relationship
420;What's your favorite memory with your family?;relationship
421;Is there anyone close in your life that perceives you differently than you perceive yourself?;relationship
422;Who do you go to for advice, and why?;relationship
423;What was your most memorable moment with your parent(s)?;relationship
424;What behavior or trait immediately makes you like someone?;relationship
425;What or who do you have an unhealthy relationship with?;relationship
426;What's your ideal first date?;relationship
427;How do you feel about your relationship with your mother?;relationship
428;Which relationship in your life do you currently find the most challenging? What are you learning from it?;relationship
429;What was your relationship like with your siblings growing up? If you didn't have them, who did you spend a lot of time with?;relationship
430;What's something you wish you knew earlier about being a good partner?;relationship
431;In three words, how would your family and friends describe you?;relationship
432;What quality do you most appreciate about your partner?;relationship
433;Who's life do you think you've impacted the most?;relationship
434;What's a "red flag" in a relationship or friendship?;relationship
435;Is there anyone in your life being impacted by your insecurities? ;relationship
436;What's a recent moment in which you feel you represented yourself authentically?;relationship
437;How has your relationship with your parents changed as you've gotten older?;relationship
438;Who in your life always makes you laugh?;relationship
439;If you could teach someone just one thing about how to be in a good relationship, what would it be?;relationship
440;What social behaviors of yours are driven by the need for safety, belonging, acceptance, or validation, rather than genuine desire?;relationship
441;How do you feel about your relationship with your father?;relationship
442;What behaviors will you no longer accept in your relationships?;relationship
443;If you were to suddenly inexplicably go missing, who in your life would be most likely to solve the mystery and find you?;relationship
444;What's the most important lesson a friend has taught you?;relationship
445;Is there anyone you envy? If so, whom and for what?;relationship
446;What do you think people might envy you for?;relationship
447;What are you working on in your relationships (with friends or with a partner) right now?;relationship
448;What did you learn about yourself from your last relationship?;relationship
449;What actions, if taken, would make you proud of yourself a month from now, regardless of the outcome?;checkin
450;How can you create an environment that will naturally bring about your currently desired change?;checkin
451;What's something you currently doubt, conciously or subconsciously, that you can do?;checkin
452;How well are you taking care of yourself lately?;checkin
453;What was your biggest win lately?;checkin
454;Who helped you recently?;checkin
455;What's something you recently learned?;checkin
456;What's a challenge you recently faced?;checkin
457;What did you recently fail at? What did you learn from it?;checkin
458;What's something you recently came across that gave you hope or inspiration?;checkin
459;What's a new skill or knowledge you're learning right now?;checkin
460;Who has made a positive difference in your life recently?;checkin
461;What are you most proud of right now?;checkin
462;What is the most fun you have had recently?;checkin
463;What's a compliment you recently received?;checkin
464;What's an interesting conversation you recently had?;checkin
465;What's something you did recently that took courage?;checkin
466;What's a recent personal growth moment you've experienced?;checkin
467;What’s a new movie or show you've enjoyed recently?;checkin
468;What quality are you currently cultivating in yourself?;checkin
469;Is there a quote or saying you call to mind often, intentionally or unintentionally? ;checkin
470;What's the most fun you recently had? What did you do, and who were you with?;checkin
471;What’s something at the top of your to-do list?;checkin
472;What's the most exciting improvement you've been seeing in yourself recently?;checkin
473;Is there a behavior or pattern you keep falling into that hurts yourself?;checkin
474;What's a personal value or belief you've been reflecting on?;checkin
475;What's a goal you're working towards?;checkin
476;What compliment would you give yourself right now?;checkin
477;What do you have up in your browser tabs right now?;checkin
478;Have any priorities recently shifted to the forefront of your life?;checkin
479;What's a significant change you're considering or have made?;checkin
480;Think of one of your big, lofty goals. What small step could you take today towards achieving it?;checkin
481;What's a deep or difficult question you've been pondering lately?;checkin
482;What kind of a day have you had so far today?;checkin
483;What song has been on repeat for you lately? Does it have any special meaning?;checkin
484;What are 3 words you'd used to describe how you currently feel?;checkin
485;What's your favorite way to relax these days?;checkin
486;What are you grateful for lately?;checkin
487;What made you happy today?;checkin
488;How have you been lately?;checkin
489;How have you stepped out of your comfort zone recently?;checkin
490;What are some of your recent highlights and lowlights?;checkin
491;How’s your heart today?;checkin
492;What's something you are really into right now?;checkin
493;How is your current health, fitness, or wellness routine going?;checkin
494;What would brighten your day today?;checkin
495;What do you wish people would talk more about right now?;checkin
496;What's a recent decision you're glad you made?;checkin
497;Have you tried any new foods or restaurants lately?;checkin
498;What's something good that recently happened to you?;checkin
499;Where do you feel you're improving the most?;checkin
500;What are you most grateful for in your life right now?;checkin
501;What is the most powerful habit, good or bad, in your life right now?;checkin
502;What's something you're looking forward to doing or experiencing?;checkin
503;What's currently worrying you?;checkin
504;Which form of self-expression has become increasingly important to you?;checkin
505;What self-limiting beliefs do you currently hold?;checkin
506;Is there anything you'd like to get off your chest?;checkin
507;What's a great piece of advice you recently received? Who was it from?;checkin
508;What aspects of life are you loving most right now?;checkin
509;What have you been eating lots of lately?;checkin
510;What has surprised you recently?;checkin
511;What is one thing you didn’t do so well recently?;checkin
512;On a scale of 1-10, how happy are you?;checkin
513;What’s something that made you laugh recently?;checkin
514;How's your family doing?;checkin
515;What would you like to thank yourself for right now?;checkin
516;What's one interesting thing you've been thinking about lately?;checkin
517;What elements of your daily routine have become non-negotiable lately?;checkin
518;What do you wish people would stop talking about right now?;checkin
519;What do you find yourself fantasizing about these days?;checkin
520;What was the most recent thing that made you cry?;checkin
521;What do you wish you had done differently in the last month?;checkin
522;What's a new hobby or activity you've tried recently?;checkin
523;What's the best purchase you recently made?;checkin
524;What's a funny or interesting story from your week?;checkin
525;What’s one thing that brings you energy and joy lately?;checkin
526;What's that one thing you keep buying or doing even though you know it's unhealthy?;checkin
527;What's something you recently taught yourself?;checkin
528;What's something you could talk about for hours right now?;checkin
529;Where you currently facing uncertainty or unknown, and how are you navigating it?;checkin
530;What thoughts distract you when you’re trying to get to sleep?;checkin
531;What's your most common feeling lately?;checkin
532;What's one thing you recently did for yourself?;checkin
533;What can you be kinder towards yourself for right now?;checkin
534;What's a truth you've recently come to terms with?;checkin
535;What do you wish people would ask you more about right now?;checkin
536;What's a habit you're trying to develop or break?;checkin
537;What's a habit you'd like to adopt, but find difficult to stick to?;checkin
538;What's something you've been reminding yourself to think, do, or feel lately?;checkin
539;Explain your current feelings in life to a 3 year old.;checkin
